name,blog_address,rss_url,topic,weekly_updates,network_status,error
simonwillison.net,https://simonwillison.net,https://simonwillison.net/atom/everything/,Programming,28,OK,
daringfireball.net,https://daringfireball.net,https://daringfireball.net/feeds/main,Programming,21,OK,
johndcook.com,https://johndcook.com,https://www.johndcook.com/blog/feed/,AI,8,OK,
nesbitt.io,https://nesbitt.io,https://nesbitt.io/feed.xml,AI,7,OK,
shkspr.mobi,https://shkspr.mobi,https://shkspr.mobi/blog/feed/,AI,7,OK,
devblogs.microsoft.com/oldnewthing,https://devblogs.microsoft.com/oldnewthing,https://devblogs.microsoft.com/oldnewthing/feed,AI,6,OK,
dfarq.homeip.net,https://dfarq.homeip.net,https://dfarq.homeip.net/feed/,AI,5,OK,
joanwestenberg.com,https://joanwestenberg.com,https://joanwestenberg.com/rss,AI,5,OK,
idiallo.com,https://idiallo.com,https://idiallo.com/feed.rss,Programming,4,OK,
pluralistic.net,https://pluralistic.net,https://pluralistic.net/feed/,Programming,4,OK,
blog.jim-nielsen.com,https://blog.jim-nielsen.com,https://blog.jim-nielsen.com/feed.xml,Programming,3,OK,
buttondown.com/hillelwayne,https://buttondown.com/hillelwayne,https://buttondown.com/hillelwayne/rss,Programming,2,OK,
construction-physics.com,https://construction-physics.com,https://www.construction-physics.com/feed,AI,2,OK,
garymarcus.substack.com,https://garymarcus.substack.com,https://garymarcus.substack.com/feed,AI,2,OK,
herman.bearblog.dev,https://herman.bearblog.dev,https://herman.bearblog.dev/feed/,AI,2,OK,
seangoedecke.com,https://seangoedecke.com,https://www.seangoedecke.com/rss.xml,AI,2,OK,
steveblank.com,https://steveblank.com,https://steveblank.com/feed/,Programming,2,OK,
xeiaso.net,https://xeiaso.net,https://xeiaso.net/blog.rss,Programming,2,OK,
anildash.com,https://anildash.com,https://anildash.com/feed.xml,Programming,1,OK,
antirez.com,http://antirez.com,http://antirez.com/rss,AI,1,OK,
derekthompson.org,https://derekthompson.org,https://www.theatlantic.com/feed/author/derek-thompson/,AI,1,OK,
